MONTH,DAY,Date,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,CANCELLED,CANCELLATION_REASON,ID
1,1,1/1/15,2514,N879AS,OKC,DFW,1,A,112514N879AS
1,1,1/1/15,2824,N615MQ,DFW,AEX,1,B,112824N615MQ
1,1,1/1/15,2831,N680MQ,TUL,DFW,1,B,112831N680MQ
1,1,1/1/15,3320,N649MQ,LAW,DFW,1,B,113320N649MQ
1,1,1/1/15,334,N494AA,DFW,MFE,1,B,11334N494AA
1,1,1/1/15,1524,N424AA,DFW,LAS,1,B,111524N424AA
1,1,1/1/15,2830,N652MQ,DFW,PIA,1,B,112830N652MQ
1,1,1/1/15,2841,N905MQ,DSM,DFW,1,B,112841N905MQ
1,1,1/1/15,3190,N532MQ,DFW,MAF,1,B,113190N532MQ
1,1,1/1/15,929,N514SW,LBB,AUS,1,B,11929N514SW
1,1,1/1/15,2776,N600MQ,DFW,HOU,1,B,112776N600MQ
1,1,1/1/15,2799,N627MQ,DFW,ACT,1,B,112799N627MQ
1,1,1/1/15,3041,N658MQ,DFW,DSM,1,B,113041N658MQ
1,1,1/1/15,2947,N509MQ,LIT,DFW,1,B,112947N509MQ
1,1,1/1/15,2983,N1EAMQ,DFW,AMA,1,B,112983N1EAMQ
1,1,1/1/15,3278,N640MQ,BTR,DFW,1,B,113278N640MQ
1,1,1/1/15,262,N3CPAA,DFW,RSW,1,B,11262N3CPAA
1,1,1/1/15,1484,N504AA,DFW,AUS,1,B,111484N504AA
1,1,1/1/15,3636,N935MQ,DFW,MLU,1,B,113636N935MQ
1,1,1/1/15,2860,N647MQ,ABI,DFW,1,B,112860N647MQ
1,1,1/1/15,3184,N635MQ,DFW,GRK,1,B,113184N635MQ
1,1,1/1/15,3270,N606MQ,DFW,CHA,1,B,113270N606MQ
1,1,1/1/15,2828,N932MQ,DFW,CHS,1,B,112828N932MQ
1,1,1/1/15,3543,N628MQ,DFW,MHK,1,B,113543N628MQ
1,1,1/1/15,2301,N499AA,DFW,ORD,1,B,112301N499AA
1,1,1/1/15,3196,N925MQ,DFW,SAF,1,B,113196N925MQ
1,1,1/1/15,3404,N855MQ,DFW,TYR,1,B,113404N855MQ
1,1,1/1/15,326,N486AA,DFW,STL,1,B,11326N486AA
1,1,1/1/15,1132,N437AA,DFW,PHX,1,B,111132N437AA
1,1,1/1/15,2834,N643MQ,DFW,JAN,1,B,112834N643MQ
1,1,1/1/15,3325,N645MQ,DFW,XNA,1,B,113325N645MQ
1,1,1/1/15,6573,N468CA,PHX,SLC,1,A,116573N468CA
1,1,1/1/15,2286,N471AA,SAT,DFW,1,B,112286N471AA
